Year,Company/Brand,Sector,Stage,Amount($),HeadQuarter
2018,ZunRoof,Energy,Angel,199200.0,Gurgaon
2018,Eggoz,Food & Beverages,Angel,144000.0,Indore
2018,Sqrrl Fintech,Technology,Seed,1000000.0,Gurgaon
2018,GalaxyCard,Technology,Seed,17030531.594164457,Noida
2018,IndiQube,Business Intelligence,Series A,15000000.0,Bengaluru
2018,EGK Foods,Food & Beverages,Seed,240000.0,Mumbai
2018,NirogStreet,Technology,Seed,300000.0,Gurgaon
2018,Pixr8,Business Intelligence,Seed,50000.0,Ghaziabad
2018,Nivesh.com,Finance,Seed,360000.0,Noida
2018,Theranosis Life Sciences,Technology,Seed,17030531.594164457,Hyderabad
2018,Poshmiles Online Solutions Private Limited,Hospitality,Seed,17030531.594164457,Bengaluru
2018,Reculta,Business Intelligence,Seed,17030531.594164457,Noida
2018,Orbo.ai,Technology,Seed,17030531.594164457,Mumbai
2018,Inntot Technologies,Agriculture,Seed,17030531.594164457,Kochi
2018,Zoctr Health,Technology,Seed,17030531.594164457,Powai
2018,Hey Deedee,Transport,Seed,396000.0,Mumbai
2018,DigiConnectt Technologys,Technology,Seed,125000.0,Bengaluru
2018,Locus.sh,Technology,Series A,4000000.0,Bengaluru
2018,Sports Flashes Pvt. Ltd,Lifestyle,Seed,1000000.0,New Delhi
2018,Inc42,Agriculture,Seed,17030531.594164457,New Delhi
2018,Picxy,Technology,Seed,130000.0,Guntur
2018,Huddle,Business Intelligence,Seed,300000.0,Haryana
2018,Benepik,Business Intelligence,Seed,17030531.594164457,Gurgaon
2018,Cash Suvidha,Finance,Seed,1000000.0,New Delhi
2018,Smartcoin,Technology,Seed,2000000.0,Bengaluru
2018,Carmel Organics,Technology,Series A,17030531.594164457,Indore
2018,Roadcast,Agriculture,Angel,250000.0,New Delhi
2018,Printline Media(ThePrint),Agriculture,Seed,418800.0,New Delhi
2018,Creditas Solutions,Finance,Seed,17030531.594164457,Gurgaon
2018,UrbanPiper,Technology,Seed,17030531.594164457,Bengaluru
2018,Doxper,Hospitality,Seed,864000.0,Mumbai
2018,i2ifunding,Finance,Angel,600000.0,Noida
2018,ShakeDeal,Commerce,Seed,17030531.594164457,Bengaluru
2018,HelloVerify,Technology,Seed,17030531.594164457,Noida
2018,Fasal,Technology,Seed,120000.0,Bengaluru
2018,CoinGeto,Finance,Seed,1440000.0,Delhi
2018,Avail Finance,Technology,Series A,17200000.0,Bengaluru
2018,Tripeur,Technology,Seed,600000.0,Bengaluru
2018,Wedeterna,Hospitality,Angel,17030531.594164457,Bengaluru
2018,Stumagz,Agriculture,Seed,17030531.594164457,Hyderabad
2018,Doubtnut,Technology,Seed,420000.0,Gurgaon
2018,MCaffeine,Commerce,Seed,384000.0,Mumbai
2018,TrustCheckr,Technology,Angel,100000.0,Bengaluru
2018,HealthAssure,Lifestyle,Seed,1000000.0,Mumbai
2018,Picture TIme,Agriculture,Seed,3000000.0,New Delhi
2018,1Crowd,Technology,Angel,3500000.0,Mumbai
2018,Aarav Unmanned Systems,Technology,Seed,17030531.594164457,Bengaluru
